"year","state_fips","stalt_unemployed_15_plus_weeks","stalt_job_losers","stalt_discouraged_workers","stalt_all_marginally_attached","stalt_involuntary_part_time_employed","stalt_civilian_labor_force","stalt_employed","stalt_unemployed","stalt_u1","stalt_u2","stalt_u3","stalt_u4","stalt_u5","stalt_u6"
2016,"50",3000,5700,600,3400,10200,346300,335000,11300,0.9,1.6,3.3,3.4,4.2,7.1
2016,"51",69500,64600,17200,51000,164700,4217600,4046700,170900,1.6,1.5,4.1,4.4,5.2,9.1
2016,"53",63000,86900,12200,45900,133500,3639300,3440700,198600,1.7,2.4,5.5,5.8,6.6,10.3
2016,"54",21600,22500,3700,10900,29000,787300,739600,47700,2.7,2.9,6.1,6.5,7.3,11
2016,"55",48500,72900,6200,20900,98000,3128700,2999400,129300,1.5,2.3,4.1,4.3,4.8,7.9
2016,"56",5400,10600,900,2300,12200,302700,286200,16500,1.8,3.5,5.4,5.7,6.1,10.1
2017,"01",38300,45300,7300,23700,62600,2161900,2068100,93800,1.8,2.1,4.3,4.7,5.4,8.2
2017,"02",10700,15400,2700,8200,12800,366000,337700,28300,2.9,4.2,7.7,8.4,9.8,13.2
2017,"04",57500,66200,9200,38300,122400,3297700,3142100,155600,1.7,2,4.7,5,5.8,9.5
2017,"05",15300,24200,3800,13600,34200,1361900,1312200,49700,1.1,1.8,3.7,3.9,4.6,7.1
2017,"06",354000,445700,60000,197500,781800,19223500,18304900,918600,1.8,2.3,4.8,5.1,5.7,9.8
2017,"08",28900,39100,4500,19600,82800,3017000,2929200,87800,1,1.3,2.9,3.1,3.5,6.3
2017,"09",40700,51400,7800,22400,79400,1915400,1822100,93300,2.1,2.7,4.9,5.3,6,10.1
2017,"10",9500,10900,2500,6000,17800,477200,454100,23100,2,2.3,4.8,5.3,6,9.7
2017,"11",13800,11000,1100,4700,10200,400800,375800,25000,3.4,2.7,6.2,6.5,7.3,9.8
2017,"12",181500,195900,34900,99100,415600,10112700,9698700,414000,1.8,1.9,4.1,4.4,5,9.1
2017,"13",108900,104000,23500,65800,152000,5060800,4825300,235400,2.2,2.1,4.7,5.1,5.9,8.8
2017,"15",5000,8200,2100,7100,17600,684600,668200,16500,0.7,1.2,2.4,2.7,3.4,6
2017,"16",5800,10300,900,5000,27400,831400,804700,26700,0.7,1.2,3.2,3.3,3.8,7.1
2017,"17",134700,182800,23200,67000,220300,6455200,6142000,313200,2.1,2.8,4.9,5.2,5.8,9.2
2017,"18",35600,58900,8400,26700,87000,3313900,3195300,118600,1.1,1.8,3.6,3.8,4.4,7
2017,"19",17900,27600,4700,10200,40800,1678800,1625100,53700,1.1,1.6,3.2,3.5,3.8,6.2
2017,"20",15900,26900,1900,9700,40800,1479600,1427000,52600,1.1,1.8,3.6,3.7,4.2,6.9
2017,"21",38900,53800,4100,17300,59700,2073400,1966100,107300,1.9,2.6,5.2,5.4,6,8.8
2017,"22",45400,57000,9600,26300,72000,2113900,2005300,108700,2.1,2.7,5.1,5.6,6.3,9.7
2017,"23",6200,10500,900,5400,25900,701900,679000,22900,0.9,1.5,3.3,3.4,4,7.7
2017,"24",64500,63700,6500,27600,94900,3213400,3077600,135800,2,2,4.2,4.4,5,8
2017,"25",62000,78200,8900,38300,93300,3665800,3523400,142400,1.7,2.1,3.9,4.1,4.9,7.4
2017,"26",73500,109800,14200,46600,172400,4867800,4640500,227200,1.5,2.3,4.7,4.9,5.6,9.1
2017,"27",27800,64900,3300,13900,82100,3099000,2993200,105700,0.9,2.1,3.4,3.5,3.8,6.5
2017,"28",28700,25900,5200,13800,43700,1280600,1215100,65500,2.2,2,5.1,5.5,6.1,9.5
2017,"29",36900,67000,6900,27200,73100,3009600,2895300,114400,1.2,2.2,3.8,4,4.7,7.1
2017,"30",6500,10000,1200,4700,17700,521500,500400,21100,1.3,1.9,4,4.3,4.9,8.3
2017,"31",8300,13500,1600,6900,26700,1005100,976500,28600,0.8,1.3,2.8,3,3.5,6.1
2017,"32",26500,38600,5500,19300,66300,1454200,1381300,72900,1.8,2.7,5,5.4,6.3,10.8
2017,"33",6800,10800,900,5500,20000,741000,720600,20400,0.9,1.5,2.8,2.9,3.5,6.2
2017,"34",96900,101000,16200,46800,164800,4490900,4283900,206900,2.2,2.2,4.6,5,5.6,9.2
2017,"35",22600,26400,2700,12400,37200,928700,872100,56700,2.4,2.8,6.1,6.4,7.3,11.3
2017,"36",193000,215700,40200,115200,279000,9698500,9248400,450100,2,2.2,4.6,5,5.8,8.6
2017,"37",88700,105700,13900,53600,130800,4905900,4685700,220200,1.8,2.2,4.5,4.8,5.5,8.2
2017,"38",2900,5000,700,2500,9100,416200,405600,10700,0.7,1.2,2.6,2.7,3.1,5.3
2017,"39",107800,139700,15200,53600,189500,5777800,5486900,290900,1.9,2.4,5,5.3,5.9,9.2
2017,"40",28900,35600,4400,17700,39600,1839100,1758400,80600,1.6,1.9,4.4,4.6,5.3,7.4
2017,"41",28600,40300,3400,15400,76400,2123200,2037000,86200,1.3,1.9,4.1,4.2,4.7,8.3
2017,"42",131800,163800,22300,81800,217700,6395700,6088100,307700,2.1,2.6,4.8,5.1,6,9.4
2017,"44",9400,15100,900,3400,16400,555200,530600,24600,1.7,2.7,4.4,4.6,5,8
2017,"45",43100,46300,7000,24900,54800,2286900,2186800,100000,1.9,2,4.4,4.7,5.4,7.8
2017,"46",5200,8000,1600,4100,9400,459500,442900,16600,1.1,1.7,3.6,3.9,4.5,6.5
